Applications of 3D Reconstruction in Virtual Reality-Based Teleoperation: A Review in the Mining Industry,"Although multiview platforms have enhanced work efficiency in mining teleoperation systems, they also induce “cognitive tunneling” and depth-detection issues for operators. These issues inadvertently focus their attention on a restricted central view. Fully immersive virtual reality (VR) has recently attracted the attention of specialists in the mining industry to address these issues. Nevertheless, developing VR teleoperation systems remains a formidable challenge, particularly in achieving a realistic 3D model of the environment. This study investigates the existing gap in fully immersive teleoperation systems within the mining industry, aiming to identify the most optimal methods for their development and ensure operator’s safety. To achieve this purpose, a literature search is employed to identify and extract information from the most relevant sources. The most advanced teleoperation systems are examined by focusing on their visualization types. Then, various 3D reconstruction techniques applicable to mining VR teleoperation are investigated, and their data acquisition methods, sensor technologies, and algorithms are analyzed. Ultimately, the study discusses challenges associated with 3D reconstruction techniques for mining teleoperation. The findings demonstrated that the real-time 3D reconstruction of underground mining environments primarily involves depth-based techniques. In contrast, point cloud generation techniques can mostly be employed for 3D reconstruction in open-pit mining operations.
Full article",3
Reinforcement-Learning-Based Virtual Inertia Controller for Frequency Support in Islanded Microgrids,"As the world grapples with the energy crisis, integrating renewable energy sources into the power grid has become increasingly crucial. Microgrids have emerged as a vital solution to this challenge. However, the reliance on renewable energy sources in microgrids often leads to low inertia. Renewable energy sources interfaced with the network through interlinking converters lack the inertia of conventional synchronous generators, and hence, need to provide frequency support through virtual inertia techniques. This paper presents a new control algorithm that utilizes the reinforcement learning agents Twin Delayed Deep Deterministic Policy Gradient (TD3) and Deep Deterministic Policy Gradient (DDPG) to support the frequency in low-inertia microgrids. The RL agents are trained using the system-linearized model and then extended to the nonlinear model to reduce the computational burden. The proposed system consists of an AC–DC microgrid comprising a renewable energy source on the DC microgrid, along with constant and resistive loads. On the AC microgrid side, a synchronous generator is utilized to represent the low inertia of the grid, which is accompanied by dynamic and static loads. The model of the system is developed and verified using Matlab/Simulink and the reinforcement learning toolbox. The system performance with the proposed AI-based methods is compared to conventional low-pass and high-pass filter (LPF and HPF) controllers.
Full article",3
Examining the Landscape of Cognitive Fatigue Detection: A Comprehensive Survey,"Cognitive fatigue, a state of reduced mental capacity arising from prolonged cognitive activity, poses significant challenges in various domains, from road safety to workplace productivity. Accurately detecting and mitigating cognitive fatigue is crucial for ensuring optimal performance and minimizing potential risks. This paper presents a comprehensive survey of the current landscape in cognitive fatigue detection. We systematically review various approaches, encompassing physiological, behavioral, and performance-based measures, for robust and objective fatigue detection. The paper further analyzes different challenges, including the lack of standardized ground truth and the need for context-aware fatigue assessment. This survey aims to serve as a valuable resource for researchers and practitioners seeking to understand and address the multifaceted challenge of cognitive fatigue detection.
Full article",3
Pioneering a Framework for Robust Telemedicine Technology Assessment (Telemechron Study),"The field of technology assessment in telemedicine is garnering increasing attention due to the widespread adoption of this discipline and its complex and heterogeneous system characteristics, making its application complex. As part of a national telemedicine project, the National Center for Innovative Technologies in Public Health at the Italian National Institute of Health played the role of promoting and utilizing technology assessment tools within partnership projects. This study aims to outline the design, development, and application of assessment methodologies within the telemedicine project proposed by the ISS team, utilizing a specific framework developed within the project. The sub-objectives include evaluating the proposed methodology’s effectiveness and feasibility, gathering feedback for improvement, and assessing its impact on various project components. The study emphasizes the multifaceted nature of action domains and underscores the crucial role of technology assessments in telemedicine, highlighting its impact across diverse realms through iterative interaction cycles with project partners. Both the impact and the acceptance of the methodology have been assessed by means of specific computer-aided web interviewing (CAWI) tools. The proposed methodology received significant acceptance, providing valuable insights for refining future frameworks. The impact assessment revealed a consistent quality improvement trend in the project’s products, evident in methodological consolidations. The overall message encourages similar initiatives in this domain, shedding light on the intricacies of technology assessment implementation. In conclusion, the study serves as a comprehensive outcome of the national telemedicine project, witnessing the success and adaptability of the technology assessment methodology and advocating for further exploration and implementation in analogous contexts.
Full article",3
Energy Sustainability Indicators for the Use of Biomass as Fuel for the Sugar Industry,"There are numerous analytical and/or computational tools for evaluating the energetic sustainability of biomass in the sugar industry. However, the simultaneous integration of the energetic–exergetic and emergetic criteria for such evaluation is still insufficient. The objective of the present work is to propose a range of indicators to evaluate the sustainability of the use of biomass as fuel in the sugar industry. For this purpose, energy, exergy, and emergy evaluation tools were theoretically used as sustainability indicators. They were validated in five variants of different biomass and their mixtures in two studies of technologies used in Cuba for the sugar industry. As a result, the energy method showed, for all variants, an increase in efficiency of about 5% in the VU-40 technology compared to the Retal technology. There is an increase in energy efficiency when considering AHRs of 2.8% or Marabu (Dichrostachys cinerea) (5.3%) compared to the V1V1<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><semantics><msub><mi>V</mi><mn>1</mn></msub></semantics></math> variant. Through the study of the exergetic efficiency, an increase of 2% was determined in both technologies for the case of the V1V1<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><semantics><msub><mi>V</mi><mn>1</mn></msub></semantics></math> variant, and an increase in efficiency is observed in the V2V2<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><semantics><msub><mi>V</mi><mn>2</mn></msub></semantics></math> variant of 5% and the V3V3<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><semantics><msub><mi>V</mi><mn>3</mn></msub></semantics></math> variant (5.6%) over the V1V1<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><semantics><msub><mi>V</mi><mn>1</mn></msub></semantics></math> variant. The emergetic method showed superior results for the VU-40 technology over the Retal technology due to higher fuel utilization. In the case of the V1V1<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><semantics><msub><mi>V</mi><mn>1</mn></msub></semantics></math> variant, there was a 7% increase in the renewability ratio and an 11.07% increase in the sustainability index. This is because more energy is produced per unit of environmental load.
Full article",3
A 28 GHz Highly Linear Up-Conversion Mixer for 5G Cellular Communications,"In this paper, we present a highly linear direct in-phase/quadrature (I/Q) up-conversion mixer for 5G millimeter-wave applications. To enhance the linearity of the mixer, we propose a complementary derivative superposition technique with pre-distortion. The proposed up-conversion mixer consists of a quadrature generator, LO buffer amplifiers, and an I/Q up-conversion mixer core and achieves an output third-order intercept point of 15.7 dBm and an output 1 dB compression point of 2 dBm at 27.6 GHz, while it consumes 15 mW at a supply voltage of 1 V. The conversion gain is 11.4 dB and the LO leakage and image rejection ratio are −56 dBc and 61 dB, respectively, in the measurement. The proposed I/Q up-conversion mixer is suitable for 5G cellular communication systems.
Full article",3
Reinforcement Learning as an Approach to Train Multiplayer First-Person Shooter Game Agents,"Artificial Intelligence bots are extensively used in multiplayer First-Person Shooter (FPS) games. By using Machine Learning techniques, we can improve their performance and bring them to human skill levels. In this work, we focused on comparing and combining two Reinforcement Learning training architectures, Curriculum Learning and Behaviour Cloning, applied to an FPS developed in the Unity Engine. We have created four teams of three agents each: one team for Curriculum Learning, one for Behaviour Cloning, and another two for two different methods of combining Curriculum Learning and Behaviour Cloning. After completing the training, each agent was matched to battle against another agent of a different team until each pairing had five wins or ten time-outs. In the end, results showed that the agents trained with Curriculum Learning achieved better performance than the ones trained with Behaviour Cloning by a matter of 23.67% more average victories in one case. In terms of the combination attempts, not only did the agents trained with both devised methods had problems during training, but they also achieved insufficient results in the battle, with an average of 0 wins.
Full article",3
A Comparison between Kinematic Models for Robotic Needle Insertion with Application into Transperineal Prostate Biopsy,"Transperineal prostate biopsy is the most reliable technique for detecting prostate cancer, and robot-assisted needle insertion has the potential to improve the accuracy of this procedure. Modeling the interaction between a bevel-tip needle and the tissue, considering tissue heterogeneity, needle bending, and tissue/organ deformation and movement is a required step to enable robotic needle insertion. Even if several models exist, they have never been compared on experimental grounds. Based on this motivation, this paper proposes an experimental comparison for kinematic models of needle insertion, considering different needle insertion speeds and different degrees of tissue stiffness. The experimental comparison considers automated insertions of needles into transparent silicone phantoms under stereo-image guidance. The comparison evaluates the accuracy of existing models in predicting needle deformation.
Full article",3
Measurement of Light-Duty Vehicle Exhaust Emissions with Light Absorption Spectrometers,"Light-duty vehicle emission regulations worldwide set limits for the following gaseous pollutants: carbon monoxide (CO), nitric oxides (NOX), hydrocarbons (HCs), and/or non-methane hydrocarbons (NMHCs). Carbon dioxide (CO2) is indirectly limited by fleet CO2 or fuel consumption targets. Measurements are carried out at the dilution tunnel with “standard” laboratory-grade instruments following well-defined principles of operation: non-dispersive infrared (NDIR) analyzers for CO and CO2, flame ionization detectors (FIDs) for hydrocarbons, and chemiluminescence analyzers (CLAs) or non-dispersive ultraviolet detectors (NDUVs) for NOX. In the United States in 2012 and in China in 2020, with Stage 6, nitrous oxide (N2O) was also included. Brazil is phasing in NH3 in its regulation. Alternative instruments that can measure some or all these pollutants include Fourier transform infrared (FTIR)- and laser absorption spectroscopy (LAS)-based instruments. In the second category, quantum cascade laser (QCL) spectroscopy in the mid-infrared area or laser diode spectroscopy (LDS) in the near-infrared area, such as tunable diode laser absorption spectroscopy (TDLAS), are included. According to current regulations and technical specifications, NH3 is the only component that has to be measured at the tailpipe to avoid ammonia losses due to its hydrophilic properties and adsorption on the transfer lines. There are not many studies that have evaluated such instruments, in particular those for “non-regulated” worldwide pollutants. For this reason, we compared laboratory-grade “standard” analyzers with FTIR- and TDLAS-based instruments measuring NH3. One diesel and two gasoline vehicles at different ambient temperatures and with different test cycles produced emissions in a wide range. In general, the agreement among the instruments was very good (in most cases, within ±10%), confirming their suitability for the measurement of pollutants.
Full article",3
Visualization of Spatial–Temporal Epidemiological Data: A Scoping Review,"In recent years, the proliferation of health data sources due to computer technologies has prompted the use of visualization techniques to tackle epidemiological challenges. However, existing reviews lack a specific focus on the spatial and temporal analysis of epidemiological data using visualization tools. This study aims to address this gap by conducting a scoping review following the PRISMA-ScR guidelines, examining the literature from 2000 to 2024 on spatial–temporal visualization techniques when applied to epidemics, across five databases: PubMed, IEEE Xplore, Scopus, Google Scholar, and ACM Digital Library until 24 January 2024. Among 1312 papers reviewed, 114 were selected, emphasizing aggregate measures, web platform tools, and geospatial data representation, particularly favoring choropleth maps and extended charts. Visualization techniques were predominantly utilized for real-time data presentation, trend analysis, and predictions. Evaluation methods, categorized into standard methodology, user experience, task efficiency, and accuracy, were observed. Although various open-access datasets were available, only a few were commonly used, mainly those related to COVID-19. This study sheds light on the current trends in visualizing epidemiological data over the past 24 years, highlighting the gaps in standardized evaluation methodologies and the limited exploration of individual epidemiological data and diseases acquired in hospitals during epidemics.
Full article",3
